a1,a6,a7,a8,label
1,0.733333333,0.3496,1,1
2,0.3,0.1748,1,1
3,0.133333333,0.1748,1,1
4,17.03333333,6.118,1,1
5,0.033333333,0.1748,1,1
6,2.35,0,0,1
7,1.9,0.6992,1,1
8,1.316666667,0.5244,1,1
9,0.466666667,0.1748,1,1
10,11.55,4.1952,1,1
11,1.716666667,0,0,1
12,3.666666667,0,0,1
13,0.066666667,0.1748,1,1
14,0.85,0.3496,1,1
15,0.25,0.1748,1,1
16,1.233333333,0,0,1
17,0.583333333,0,0,1
18,2.583333333,0,0,1
19,1.633333333,0.6992,1,1
20,7.833333333,0,0,1
21,0.15,0.1748,1,1
22,1.9,0.6992,1,1
23,1.8,0.6992,1,1
24,0.2,0,0,1
25,0.9,0,0,1
26,0.083333333,0.1748,1,1
27,0.45,0.1748,1,1
28,0.2,0.1748,1,1
29,13.81666667,4.8944,1,1
30,0.583333333,0.3496,1,1
31,10.85,0,0,1
32,2.183333333,0,0,1
33,0.166666667,0.1748,1,1
34,0.133333333,0,0,1
35,9.55,0,0,1
36,0.1,0.1748,1,1
37,5.2,0,0,1
38,1.183333333,0,0,1
39,4.45,1.5732,1,1
40,0.283333333,0.1748,1,1
41,4.2,1.5732,1,1
42,0.2,0.1748,1,1
43,8.5,2.9716,1,1
44,3.366666667,1.2236,1,1
45,2.966666667,0,0,1
46,0.2,0.1748,1,1
47,0.5,0.1748,1,1
48,0.066666667,0.1748,1,1
49,0.233333333,0.1748,1,1
50,2.433333333,0,0,1
51,0.916666667,0.3496,1,1
52,0.016666667,0.1748,1,1
53,13.66666667,0,0,1
54,2.883333333,0,0,1
55,0.333333333,0.1748,1,1
56,0.5,0.1748,1,1
57,0.7,0.3496,1,1
58,0.566666667,0.3496,1,1
59,0.416666667,0.1748,1,1
60,14.5,0,0,1
61,2.516666667,1.0488,1,1
62,1.483333333,0,0,1
63,0.516666667,0.3496,1,1
64,0.016666667,0,0,1
65,43,15.0328,1,1
66,0.383333333,0,0,1
67,71.5,0,0,1
68,0.733333333,0,0,1
69,0.966666667,0.3496,1,1
70,1.233333333,0.5244,1,1
71,0.85,0,0,1
72,5.5,1.9228,1,1
73,1.133333333,0.5244,1,1
74,61.81666667,0.6992,1,1
75,0.533333333,0,0,1
76,0.316666667,0.1748,1,1
77,0.25,0.1748,1,1
78,12.7,0,0,1
79,4.766666667,1.748,1,1
80,0.233333333,0.1748,1,1
81,1.816666667,0.6992,1,1
82,1.133333333,0.5244,1,1
83,0.65,0.3496,1,1
84,0.25,0.1748,1,1
85,0.5,0.1748,1,1
86,0.7,0.3496,1,1
87,0.533333333,0.3496,1,1
88,7,0,0,1
89,0.666666667,0,0,1
90,0.2,0.1748,1,1
91,0.383333333,0.1748,1,1
92,0.016666667,0.1748,1,1
93,2,0.6992,1,1
94,0.2,0,0,1
95,28.5,0,0,1
96,29.91666667,0,0,1
97,2.25,0,0,1
98,0.8,0,0,1
99,0.416666667,0.1748,1,1
100,0.183333333,0.1748,1,1
101,32.86666667,1.748,1,1
102,0.9,0.3496,1,1
103,0.8,0.3496,1,1
104,3.466666667,0,0,1
105,0.85,0.3496,1,1
106,0.083333333,0,0,1
107,30.53333333,0,0,1
108,24.66666667,0,0,1
109,30.2,0,0,1
110,0.016666667,0.1748,1,1
111,0.333333333,0.1748,1,1
112,1.133333333,0,0,1
113,16.26666667,5.7684,1,1
114,4.966666667,1.748,1,1
115,22.5,0,0,1
116,3.2,1.2236,1,1
117,0.383333333,0.1748,1,1
118,13.36666667,4.7196,1,1
119,0.333333333,0,0,1
120,0.183333333,0,0,1
121,0.166666667,0.1748,1,1
122,0.866666667,0.3496,1,1
